i,j,age,age2,education,female,impact,ind_unc,j_,lr_i,lr_i_unc,lr_ij,lr_ij_unc,lr_j,lr_j_unc,polinterest,risk,satisdmo,sq,sq_unc,ut_ij,ut_j,vote,vote_ij
123,Grüne,27,729,Hochschulstudium,m,groß,2,Grüne,-1,ziemlich sicher,-1,weder/noch,-1.7564344,1.165725,ziemlich stark,Sicherheit,teils/ teils,1,weder/noch,0,-.75643444,Grüne,1
123,AfD,27,729,Hochschulstudium,m,groß,2,AfD,-1,ziemlich sicher,4,sehr sicher,3.1958568,.6836158,ziemlich stark,Sicherheit,teils/ teils,1,weder/noch,-5,-4.195857,Grüne,0
123,Linke,27,729,Hochschulstudium,m,groß,2,Linke,-1,ziemlich sicher,-2,weder/noch,-3.566855,.7859385,ziemlich stark,Sicherheit,teils/ teils,1,weder/noch,-1,-2.566855,Grüne,0
123,FDP,27,729,Hochschulstudium,m,groß,2,FDP,-1,ziemlich sicher,3,ziemlich sicher,-.28876334,1.2912743,ziemlich stark,Sicherheit,teils/ teils,1,weder/noch,-4,-.71123666,Grüne,0
124,CDU/CSU,66,4356,Hochschulstudium,f,sehr groß,1,CDU/CSU,-2,ziemlich sicher,2,sehr sicher,-.017576899,1.1010672,ziemlich stark,Sicherheit,teils/ teils,2,ziemlich sicher,-4,-1.9824231,Grüne,0
124,SPD,66,4356,Hochschulstudium,f,sehr groß,1,SPD,-2,ziemlich sicher,0,ziemlich sicher,-1.3013183,1.1161331,ziemlich stark,Sicherheit,teils/ teils,2,ziemlich sicher,-2,-.69868171,Grüne,0
124,Grüne,66,4356,Hochschulstudium,f,sehr groß,1,Grüne,-2,ziemlich sicher,-1,ziemlich sicher,-1.7564344,1.165725,ziemlich stark,Sicherheit,teils/ teils,2,ziemlich sicher,-1,-.24356556,Grüne,1
124,AfD,66,4356,Hochschulstudium,f,sehr groß,1,AfD,-2,ziemlich sicher,5,sehr sicher,3.1958568,.6836158,ziemlich stark,Sicherheit,teils/ teils,2,ziemlich sicher,-7,-5.195857,Grüne,0
124,Linke,66,4356,Hochschulstudium,f,sehr groß,1,Linke,-2,ziemlich sicher,-4,sehr sicher,-3.566855,.7859385,ziemlich stark,Sicherheit,teils/ teils,2,ziemlich sicher,-2,-1.566855,Grüne,0
124,FDP,66,4356,Hochschulstudium,f,sehr groß,1,FDP,-2,ziemlich sicher,1,ziemlich sicher,-.28876334,1.2912743,ziemlich stark,Sicherheit,teils/ teils,2,ziemlich sicher,-3,-1.7112367,Grüne,0
127,CDU/CSU,36,1296,Abitur,f,groß,1,CDU/CSU,0,weder/noch,4,sehr sicher,-.017576899,1.1010672,mittelmäßig,manchmal Risiken,ziemlich zufrieden,3,ziemlich sicher,-4,-.017576899,CDU/CSU,1
127,SPD,36,1296,Abitur,f,groß,1,SPD,0,weder/noch,1,ziemlich sicher,-1.3013183,1.1161331,mittelmäßig,manchmal Risiken,ziemlich zufrieden,3,ziemlich sicher,-1,-1.3013183,CDU/CSU,0
127,Grüne,36,1296,Abitur,f,groß,1,Grüne,0,weder/noch,-3,ziemlich unsicher,-1.7564344,1.165725,mittelmäßig,manchmal Risiken,ziemlich zufrieden,3,ziemlich sicher,-3,-1.7564344,CDU/CSU,0
127,AfD,36,1296,Abitur,f,groß,1,AfD,0,weder/noch,-5,sehr unsicher,3.1958568,.6836158,mittelmäßig,manchmal Risiken,ziemlich zufrieden,3,ziemlich sicher,-5,-3.1958568,CDU/CSU,0
127,Linke,36,1296,Abitur,f,groß,1,Linke,0,weder/noch,-5,sehr unsicher,-3.566855,.7859385,mittelmäßig,manchmal Risiken,ziemlich zufrieden,3,ziemlich sicher,-5,-3.566855,CDU/CSU,0
127,FDP,36,1296,Abitur,f,groß,1,FDP,0,weder/noch,-4,sehr unsicher,-.28876334,1.2912743,mittelmäßig,manchmal Risiken,ziemlich zufrieden,3,ziemlich sicher,-4,-.28876334,CDU/CSU,0
131,CDU/CSU,67,4489,Hauptschule,m,groß,0,CDU/CSU,-1,sehr sicher,2,sehr sicher,-.017576899,1.1010672,ziemlich stark,Sicherheit,ziemlich zufrieden,1,sehr sicher,-3,-.98242313,SPD,0
131,SPD,67,4489,Hauptschule,m,groß,0,SPD,-1,sehr sicher,-1,sehr sicher,-1.3013183,1.1161331,ziemlich stark,Sicherheit,ziemlich zufrieden,1,sehr sicher,0,-.30131829,SPD,1
131,Grüne,67,4489,Hauptschule,m,groß,0,Grüne,-1,sehr sicher,-1,sehr sicher,-1.7564344,1.165725,ziemlich stark,Sicherheit,ziemlich zufrieden,1,sehr sicher,0,-.75643444,SPD,0
131,AfD,67,4489,Hauptschule,m,groß,0,AfD,-1,sehr sicher,5,sehr sicher,3.1958568,.6836158,ziemlich stark,Sicherheit,ziemlich zufrieden,1,sehr sicher,-6,-4.195857,SPD,0
131,Linke,67,4489,Hauptschule,m,groß,0,Linke,-1,sehr sicher,-5,sehr sicher,-3.566855,.7859385,ziemlich stark,Sicherheit,ziemlich zufrieden,1,sehr sicher,-4,-2.566855,SPD,0
131,FDP,67,4489,Hauptschule,m,groß,0,FDP,-1,sehr sicher,3,sehr sicher,-.28876334,1.2912743,ziemlich stark,Sicherheit,ziemlich zufrieden,1,sehr sicher,-4,-.71123666,SPD,0
132,CDU/CSU,66,4356,Abitur,f,groß,1,CDU/CSU,0,ziemlich sicher,-1,ziemlich sicher,-.017576899,1.1010672,mittelmäßig,manchmal Risiken,ziemlich zufrieden,0,ziemlich sicher,-1,-.017576899,SPD,0
132,SPD,66,4356,Abitur,f,groß,1,SPD,0,ziemlich sicher,-3,ziemlich sicher,-1.3013183,1.1161331,mittelmäßig,manchmal Risiken,ziemlich zufrieden,0,ziemlich sicher,-3,-1.3013183,SPD,1
132,Grüne,66,4356,Abitur,f,groß,1,Grüne,0,ziemlich sicher,-2,ziemlich sicher,-1.7564344,1.165725,mittelmäßig,manchmal Risiken,ziemlich zufrieden,0,ziemlich sicher,-2,-1.7564344,SPD,0
132,AfD,66,4356,Abitur,f,groß,1,AfD,0,ziemlich sicher,4,ziemlich sicher,3.1958568,.6836158,mittelmäßig,manchmal Risiken,ziemlich zufrieden,0,ziemlich sicher,-4,-3.1958568,SPD,0
132,Linke,66,4356,Abitur,f,groß,1,Linke,0,ziemlich sicher,4,ziemlich sicher,-3.566855,.7859385,mittelmäßig,manchmal Risiken,ziemlich zufrieden,0,ziemlich sicher,-4,-3.566855,SPD,0
132,FDP,66,4356,Abitur,f,groß,1,FDP,0,ziemlich sicher,3,ziemlich sicher,-.28876334,1.2912743,mittelmäßig,manchmal Risiken,ziemlich zufrieden,0,ziemlich sicher,-3,-.28876334,SPD,0
134,CDU/CSU,65,4225,Realschule,m,groß,2,CDU/CSU,-1,sehr sicher,0,ziemlich sicher,-.017576899,1.1010672,mittelmäßig,Sicherheit,ziemlich zufrieden,0,ziemlich sicher,-1,-.98242313,Grüne,0
134,SPD,65,4225,Realschule,m,groß,2,SPD,-1,sehr sicher,-2,ziemlich sicher,-1.3013183,1.1161331,mittelmäßig,Sicherheit,ziemlich zufrieden,0,ziemlich sicher,-1,-.30131829,Grüne,0
134,Grüne,65,4225,Realschule,m,groß,2,Grüne,-1,sehr sicher,-1,ziemlich sicher,-1.7564344,1.165725,mittelmäßig,Sicherheit,ziemlich zufrieden,0,ziemlich sicher,0,-.75643444,Grüne,1
134,AfD,65,4225,Realschule,m,groß,2,AfD,-1,sehr sicher,5,sehr sicher,3.1958568,.6836158,mittelmäßig,Sicherheit,ziemlich zufrieden,0,ziemlich sicher,-6,-4.195857,Grüne,0
134,Linke,65,4225,Realschule,m,groß,2,Linke,-1,sehr sicher,-5,ziemlich sicher,-3.566855,.7859385,mittelmäßig,Sicherheit,ziemlich zufrieden,0,ziemlich sicher,-4,-2.566855,Grüne,0
134,FDP,65,4225,Realschule,m,groß,2,FDP,-1,sehr sicher,0,ziemlich sicher,-.28876334,1.2912743,mittelmäßig,Sicherheit,ziemlich zufrieden,0,ziemlich sicher,-1,-.71123666,Grüne,0
135,CDU/CSU,59,3481,Hauptschule,m,sehr gering,0,CDU/CSU,0,sehr sicher,0,weder/noch,-.017576899,1.1010672,weniger stark,unbedingte Sicherheit,sehr unzufrieden,0,ziemlich sicher,0,-.017576899,AfD,0
135,SPD,59,3481,Hauptschule,m,sehr gering,0,SPD,0,sehr sicher,2,weder/noch,-1.3013183,1.1161331,weniger stark,unbedingte Sicherheit,sehr unzufrieden,0,ziemlich sicher,-2,-1.3013183,AfD,0
135,Grüne,59,3481,Hauptschule,m,sehr gering,0,Grüne,0,sehr sicher,-5,sehr unsicher,-1.7564344,1.165725,weniger stark,unbedingte Sicherheit,sehr unzufrieden,0,ziemlich sicher,-5,-1.7564344,AfD,0
135,AfD,59,3481,Hauptschule,m,sehr gering,0,AfD,0,sehr sicher,0,sehr sicher,3.1958568,.6836158,weniger stark,unbedingte Sicherheit,sehr unzufrieden,0,ziemlich sicher,0,-3.1958568,AfD,1
135,Linke,59,3481,Hauptschule,m,sehr gering,0,Linke,0,sehr sicher,-5,sehr sicher,-3.566855,.7859385,weniger stark,unbedingte Sicherheit,sehr unzufrieden,0,ziemlich sicher,-5,-3.566855,AfD,0
135,FDP,59,3481,Hauptschule,m,sehr gering,0,FDP,0,sehr sicher,-2,ziemlich sicher,-.28876334,1.2912743,weniger stark,unbedingte Sicherheit,sehr unzufrieden,0,ziemlich sicher,-2,-.28876334,AfD,0
138,CDU/CSU,55,3025,Realschule,m,sehr gering,1,CDU/CSU,2,sehr sicher,-5,sehr sicher,-.017576899,1.1010672,sehr stark,unbedingte Sicherheit,sehr unzufrieden,-5,sehr sicher,-7,-2.0175769,AfD,0
138,SPD,55,3025,Realschule,m,sehr gering,1,SPD,2,sehr sicher,-5,sehr sicher,-1.3013183,1.1161331,sehr stark,unbedingte Sicherheit,sehr unzufrieden,-5,sehr sicher,-7,-3.3013182,AfD,0
138,Grüne,55,3025,Realschule,m,sehr gering,1,Grüne,2,sehr sicher,-5,sehr sicher,-1.7564344,1.165725,sehr stark,unbedingte Sicherheit,sehr unzufrieden,-5,sehr sicher,-7,-3.7564344,AfD,0
138,AfD,55,3025,Realschule,m,sehr gering,1,AfD,2,sehr sicher,0,sehr sicher,3.1958568,.6836158,sehr stark,unbedingte Sicherheit,sehr unzufrieden,-5,sehr sicher,-2,-1.1958568,AfD,1
138,Linke,55,3025,Realschule,m,sehr gering,1,Linke,2,sehr sicher,-5,sehr sicher,-3.566855,.7859385,sehr stark,unbedingte Sicherheit,sehr unzufrieden,-5,sehr sicher,-7,-5.566855,AfD,0
138,FDP,55,3025,Realschule,m,sehr gering,1,FDP,2,sehr sicher,-2,sehr sicher,-.28876334,1.2912743,sehr stark,unbedingte Sicherheit,sehr unzufrieden,-5,sehr sicher,-4,-2.2887633,AfD,0
139,CDU/CSU,33,1089,Hochschulstudium,f,sehr groß,1,CDU/CSU,-2,ziemlich sicher,3,ziemlich unsicher,-.017576899,1.1010672,mittelmäßig,häufig Risiken,teils/ teils,2,ziemlich unsicher,-5,-1.9824231,Linke,0
139,SPD,33,1089,Hochschulstudium,f,sehr groß,1,SPD,-2,ziemlich sicher,2,ziemlich unsicher,-1.3013183,1.1161331,mittelmäßig,häufig Risiken,teils/ teils,2,ziemlich unsicher,-4,-.69868171,Linke,0
139,Grüne,33,1089,Hochschulstudium,f,sehr groß,1,Grüne,-2,ziemlich sicher,5,sehr unsicher,-1.7564344,1.165725,mittelmäßig,häufig Risiken,teils/ teils,2,ziemlich unsicher,-7,-.24356556,Linke,0
139,AfD,33,1089,Hochschulstudium,f,sehr groß,1,AfD,-2,ziemlich sicher,-2,ziemlich sicher,3.1958568,.6836158,mittelmäßig,häufig Risiken,teils/ teils,2,ziemlich unsicher,0,-5.195857,Linke,0
139,Linke,33,1089,Hochschulstudium,f,sehr groß,1,Linke,-2,ziemlich sicher,-3,ziemlich sicher,-3.566855,.7859385,mittelmäßig,häufig Risiken,teils/ teils,2,ziemlich unsicher,-1,-1.566855,Linke,1
139,FDP,33,1089,Hochschulstudium,f,sehr groß,1,FDP,-2,ziemlich sicher,4,sehr unsicher,-.28876334,1.2912743,mittelmäßig,häufig Risiken,teils/ teils,2,ziemlich unsicher,-6,-1.7112367,Linke,0
140,CDU/CSU,57,3249,Hauptschule,f,gering,0,CDU/CSU,0,weder/noch,0,weder/noch,-.017576899,1.1010672,mittelmäßig,unbedingte Sicherheit,teils/ teils,0,weder/noch,0,-.017576899,CDU/CSU,1
140,SPD,57,3249,Hauptschule,f,gering,0,SPD,0,weder/noch,0,weder/noch,-1.3013183,1.1161331,mittelmäßig,unbedingte Sicherheit,teils/ teils,0,weder/noch,0,-1.3013183,CDU/CSU,0
140,Grüne,57,3249,Hauptschule,f,gering,0,Grüne,0,weder/noch,-1,weder/noch,-1.7564344,1.165725,mittelmäßig,unbedingte Sicherheit,teils/ teils,0,weder/noch,-1,-1.7564344,CDU/CSU,0
140,AfD,57,3249,Hauptschule,f,gering,0,AfD,0,weder/noch,5,sehr sicher,3.1958568,.6836158,mittelmäßig,unbedingte Sicherheit,teils/ teils,0,weder/noch,-5,-3.1958568,CDU/CSU,0
140,Linke,57,3249,Hauptschule,f,gering,0,Linke,0,weder/noch,-5,sehr sicher,-3.566855,.7859385,mittelmäßig,unbedingte Sicherheit,teils/ teils,0,weder/noch,-5,-3.566855,CDU/CSU,0
140,FDP,57,3249,Hauptschule,f,gering,0,FDP,0,weder/noch,-1,weder/noch,-.28876334,1.2912743,mittelmäßig,unbedingte Sicherheit,teils/ teils,0,weder/noch,-1,-.28876334,CDU/CSU,0
141,CDU/CSU,65,4225,Abitur,m,sehr groß,0,CDU/CSU,-3,sehr sicher,2,sehr sicher,-.017576899,1.1010672,sehr stark,keine Vorlieben,ziemlich zufrieden,3,sehr sicher,-5,-2.9824231,Linke,0
141,SPD,65,4225,Abitur,m,sehr groß,0,SPD,-3,sehr sicher,-1,sehr sicher,-1.3013183,1.1161331,sehr stark,keine Vorlieben,ziemlich zufrieden,3,sehr sicher,-2,-1.6986817,Linke,0
141,Grüne,65,4225,Abitur,m,sehr groß,0,Grüne,-3,sehr sicher,-2,sehr sicher,-1.7564344,1.165725,sehr stark,keine Vorlieben,ziemlich zufrieden,3,sehr sicher,-1,-1.2435656,Linke,0
141,AfD,65,4225,Abitur,m,sehr groß,0,AfD,-3,sehr sicher,5,sehr sicher,3.1958568,.6836158,sehr stark,keine Vorlieben,ziemlich zufrieden,3,sehr sicher,-8,-6.195857,Linke,0
141,Linke,65,4225,Abitur,m,sehr groß,0,Linke,-3,sehr sicher,-3,sehr sicher,-3.566855,.7859385,sehr stark,keine Vorlieben,ziemlich zufrieden,3,sehr sicher,0,-.56685495,Linke,1
141,FDP,65,4225,Abitur,m,sehr groß,0,FDP,-3,sehr sicher,3,sehr sicher,-.28876334,1.2912743,sehr stark,keine Vorlieben,ziemlich zufrieden,3,sehr sicher,-6,-2.7112367,Linke,0
143,CDU/CSU,69,4761,Hauptschule,m,sehr gering,0,CDU/CSU,0,sehr sicher,1,weder/noch,-.017576899,1.1010672,ziemlich stark,unbedingte Sicherheit,teils/ teils,1,weder/noch,-1,-.017576899,SPD,0
143,SPD,69,4761,Hauptschule,m,sehr gering,0,SPD,0,sehr sicher,-1,weder/noch,-1.3013183,1.1161331,ziemlich stark,unbedingte Sicherheit,teils/ teils,1,weder/noch,-1,-1.3013183,SPD,1
143,Grüne,69,4761,Hauptschule,m,sehr gering,0,Grüne,0,sehr sicher,-1,weder/noch,-1.7564344,1.165725,ziemlich stark,unbedingte Sicherheit,teils/ teils,1,weder/noch,-1,-1.7564344,SPD,0
143,AfD,69,4761,Hauptschule,m,sehr gering,0,AfD,0,sehr sicher,5,sehr sicher,3.1958568,.6836158,ziemlich stark,unbedingte Sicherheit,teils/ teils,1,weder/noch,-5,-3.1958568,SPD,0
143,Linke,69,4761,Hauptschule,m,sehr gering,0,Linke,0,sehr sicher,-5,sehr sicher,-3.566855,.7859385,ziemlich stark,unbedingte Sicherheit,teils/ teils,1,weder/noch,-5,-3.566855,SPD,0
143,FDP,69,4761,Hauptschule,m,sehr gering,0,FDP,0,sehr sicher,1,weder/noch,-.28876334,1.2912743,ziemlich stark,unbedingte Sicherheit,teils/ teils,1,weder/noch,-1,-.28876334,SPD,0
148,CDU/CSU,35,1225,Hauptschule,m,sehr groß,1,CDU/CSU,0,sehr sicher,0,weder/noch,-.017576899,1.1010672,sehr stark,häufig Risiken,teils/ teils,0,ziemlich sicher,0,-.017576899,AfD,0
148,SPD,35,1225,Hauptschule,m,sehr groß,1,SPD,0,sehr sicher,0,weder/noch,-1.3013183,1.1161331,sehr stark,häufig Risiken,teils/ teils,0,ziemlich sicher,0,-1.3013183,AfD,0
148,Grüne,35,1225,Hauptschule,m,sehr groß,1,Grüne,0,sehr sicher,0,weder/noch,-1.7564344,1.165725,sehr stark,häufig Risiken,teils/ teils,0,ziemlich sicher,0,-1.7564344,AfD,0
148,AfD,35,1225,Hauptschule,m,sehr groß,1,AfD,0,sehr sicher,0,sehr sicher,3.1958568,.6836158,sehr stark,häufig Risiken,teils/ teils,0,ziemlich sicher,0,-3.1958568,AfD,1
148,Linke,35,1225,Hauptschule,m,sehr groß,1,Linke,0,sehr sicher,1,ziemlich sicher,-3.566855,.7859385,sehr stark,häufig Risiken,teils/ teils,0,ziemlich sicher,-1,-3.566855,AfD,0
148,FDP,35,1225,Hauptschule,m,sehr groß,1,FDP,0,sehr sicher,5,sehr sicher,-.28876334,1.2912743,sehr stark,häufig Risiken,teils/ teils,0,ziemlich sicher,-5,-.28876334,AfD,0
152,CDU/CSU,57,3249,Hauptschule,m,groß,1,CDU/CSU,-5,sehr sicher,2,sehr sicher,-.017576899,1.1010672,ziemlich stark,manchmal Risiken,teils/ teils,0,ziemlich sicher,-7,-4.9824233,Grüne,0
152,SPD,57,3249,Hauptschule,m,groß,1,SPD,-5,sehr sicher,-2,sehr sicher,-1.3013183,1.1161331,ziemlich stark,manchmal Risiken,teils/ teils,0,ziemlich sicher,-3,-3.6986818,Grüne,0
152,Grüne,57,3249,Hauptschule,m,groß,1,Grüne,-5,sehr sicher,-2,sehr sicher,-1.7564344,1.165725,ziemlich stark,manchmal Risiken,teils/ teils,0,ziemlich sicher,-3,-3.2435656,Grüne,1
152,AfD,57,3249,Hauptschule,m,groß,1,AfD,-5,sehr sicher,5,sehr sicher,3.1958568,.6836158,ziemlich stark,manchmal Risiken,teils/ teils,0,ziemlich sicher,-10,-8.195857,Grüne,0
152,Linke,57,3249,Hauptschule,m,groß,1,Linke,-5,sehr sicher,-5,sehr sicher,-3.566855,.7859385,ziemlich stark,manchmal Risiken,teils/ teils,0,ziemlich sicher,0,-1.433145,Grüne,0
152,FDP,57,3249,Hauptschule,m,groß,1,FDP,-5,sehr sicher,1,sehr sicher,-.28876334,1.2912743,ziemlich stark,manchmal Risiken,teils/ teils,0,ziemlich sicher,-6,-4.7112365,Grüne,0
153,CDU/CSU,41,1681,Hochschulstudium,f,groß,1,CDU/CSU,0,ziemlich sicher,1,ziemlich sicher,-.017576899,1.1010672,mittelmäßig,Sicherheit,ziemlich zufrieden,1,ziemlich sicher,-1,-.017576899,CDU/CSU,1
153,SPD,41,1681,Hochschulstudium,f,groß,1,SPD,0,ziemlich sicher,-1,ziemlich sicher,-1.3013183,1.1161331,mittelmäßig,Sicherheit,ziemlich zufrieden,1,ziemlich sicher,-1,-1.3013183,CDU/CSU,0
153,Grüne,41,1681,Hochschulstudium,f,groß,1,Grüne,0,ziemlich sicher,-2,ziemlich sicher,-1.7564344,1.165725,mittelmäßig,Sicherheit,ziemlich zufrieden,1,ziemlich sicher,-2,-1.7564344,CDU/CSU,0
153,AfD,41,1681,Hochschulstudium,f,groß,1,AfD,0,ziemlich sicher,5,sehr sicher,3.1958568,.6836158,mittelmäßig,Sicherheit,ziemlich zufrieden,1,ziemlich sicher,-5,-3.1958568,CDU/CSU,0
153,Linke,41,1681,Hochschulstudium,f,groß,1,Linke,0,ziemlich sicher,-3,ziemlich sicher,-3.566855,.7859385,mittelmäßig,Sicherheit,ziemlich zufrieden,1,ziemlich sicher,-3,-3.566855,CDU/CSU,0
153,FDP,41,1681,Hochschulstudium,f,groß,1,FDP,0,ziemlich sicher,1,ziemlich sicher,-.28876334,1.2912743,mittelmäßig,Sicherheit,ziemlich zufrieden,1,ziemlich sicher,-1,-.28876334,CDU/CSU,0
154,CDU/CSU,55,3025,Realschule,m,gering,0,CDU/CSU,-3,ziemlich sicher,0,sehr sicher,-.017576899,1.1010672,ziemlich stark,manchmal Risiken,ziemlich zufrieden,0,ziemlich sicher,-3,-2.9824231,Linke,0
154,SPD,55,3025,Realschule,m,gering,0,SPD,-3,ziemlich sicher,-1,ziemlich sicher,-1.3013183,1.1161331,ziemlich stark,manchmal Risiken,ziemlich zufrieden,0,ziemlich sicher,-2,-1.6986817,Linke,0
154,Grüne,55,3025,Realschule,m,gering,0,Grüne,-3,ziemlich sicher,0,sehr sicher,-1.7564344,1.165725,ziemlich stark,manchmal Risiken,ziemlich zufrieden,0,ziemlich sicher,-3,-1.2435656,Linke,0
154,AfD,55,3025,Realschule,m,gering,0,AfD,-3,ziemlich sicher,4,sehr sicher,3.1958568,.6836158,ziemlich stark,manchmal Risiken,ziemlich zufrieden,0,ziemlich sicher,-7,-6.195857,Linke,0
