i,age,female,education,polinterest,satisdmo,impact,lr_A_1,lr_B_1,types_1,unc_1,ut_A_1,ut_B_1,ut_B_A_1,ut_B_A_sq_1,vote_1,vote_spa_1,age2,lr_A_2,lr_B_2,lr_cer_2,lr_unc_2,positions_2,switch_1_2,types_2,unc_2,ut_A_2,ut_B_2,ut_B_A_2,ut_B_A_sq_2,ut_cer_2,ut_unc_2,ut_unc_cer_2,ut_unc_cer_sq_2,vote_2,vote_spa_2,vote_unc_2,lr_A_3,lr_B_3,lr_cer_3,lr_unc_3,types_3,unc_3,ut_A_3,ut_B_3,ut_B_A_3,ut_B_A_sq_3,ut_unc_cer_3,vote_3,vote_unc_3,lr_A_4,lr_B_4,lr_cer_4,lr_unc_4,types_4,unc_4,ut_A_4,ut_B_4,ut_B_A_4,ut_B_A_sq_4,ut_unc_cer_4,vote_4,vote_unc_4,lr_A_5,lr_B_5,lr_cer_5,lr_unc_5,lr_unc_max_5,lr_unc_min_5,types_5,unc_5,ut_A_5,ut_B_5,ut_B_A_5,ut_B_A_sq_5,ut_cer_5,ut_unc_5,ut_unc_cer_5,ut_unc_cer_sq_5,ut_unc_max_5,ut_unc_min_5,vignette_5,vote_5,vote_spa_5,vote_unc_5,impact_cat,ind_unc,lr_afd,lr_afd_unc,lr_cdu,lr_cdu_unc,lr_fdp,lr_fdp_unc,lr_gre,lr_gre_unc,lr_i,lr_i_unc,lr_i_unc_cat,lr_linke,lr_linke_unc,lr_spd,lr_spd_unc,polinterest_cat,risk,risk_cat,sq,sq_unc,switch_1_2_cer,switch_1_2_unc,vote,vote_straight_A,vote_straight_B,vote_straight_cer,vote_straight_spa,vote_straight_unc
128,36,f,Hochschulstudium,mittelmäßig,sehr unzufrieden,groß,1,4,both right,2,-2,-5,-3,21,Party A,yes,1296,1,4,4,1,same,no,both right,Party A,-2,-5,-3,21,-5,-2,3,-21,Party A,yes,yes,4,4,4,4,both right,Party B,-5,-5,0,0,0,Party A,no,-3,1,-3,1,left/right,Party A,-2,-2,0,0,0,Party A,yes,-2,1,-2,1,,,left/right,Party B,-1,-2,-1,3,-1,-2,-1,3,,,B=risky,Party A,yes,no,groß,1,5,sehr sicher,2,ziemlich sicher,-2,weder/noch,-2,weder/noch,-1,weder/noch,unsicher,-5,sehr sicher,-1,ziemlich sicher,mittel,Sicherheit,avers,2,ziemlich sicher,no,no,,yes,no,no,yes,no
131,67,m,Hauptschule,ziemlich stark,ziemlich zufrieden,groß,3,3,both right,2,-4,-4,0,0,Party A,yes,4489,0,4,4,0,new,,both right,Party A,-1,-5,-4,24,-5,-1,4,-24,Party A,yes,yes,3,3,3,3,both right,Party A,-4,-4,0,0,0,Party B,no,-3,1,1,-3,left/right,Party B,-2,-2,0,0,0,Party A,no,-2,1,,,,,left/right,none,-1,-2,-1,3,-1,-2,-1,3,,,B=precise,Party A,yes,no,groß,0,5,sehr sicher,2,sehr sicher,3,sehr sicher,-1,sehr sicher,-1,sehr sicher,sicher,-5,sehr sicher,-1,sehr sicher,stark,Sicherheit,avers,1,sehr sicher,,,SPD,no,no,no,yes,no
132,66,f,Abitur,mittelmäßig,ziemlich zufrieden,groß,0,1,left/right,2,0,-1,-1,1,Party A,yes,4356,0,1,0,1,same,no,left/right,Party B,0,-1,-1,1,0,-1,-1,1,Party A,yes,no,-4,-4,-4,-4,both left,Party B,-4,-4,0,0,0,Party A,no,-2,2,-2,2,left/right,Party A,-2,-2,0,0,0,Party A,yes,-2,1,-2,1,0,5,,Party B,-2,-1,1,-3,-2,-1,1,-3,0,-5,B=non-position,Party A,no,no,groß,1,4,ziemlich sicher,-1,ziemlich sicher,3,ziemlich sicher,-2,ziemlich sicher,0,ziemlich sicher,sicher,4,ziemlich sicher,-3,ziemlich sicher,mittel,manchmal Risiken,affin,0,ziemlich sicher,no,no,SPD,yes,no,no,no,no
133,49,m,Realschule,mittelmäßig,sehr unzufrieden,sehr gering,-3,-3,both left,2,-3,-3,0,0,Party B,yes,2401,2,3,2,3,new,,both right,Party B,-2,-3,-1,5,-2,-3,-1,5,Party A,yes,no,-3,-3,-3,-3,both left,Party B,-3,-3,0,0,0,Party B,yes,-2,2,2,-2,left/right,Party B,-2,-2,0,0,0,Party B,yes,-2,1,-2,1,,,left/right,Party B,-2,-1,1,-3,-2,-1,1,-3,,,B=risky,Party B,yes,yes,gering,2,0,sehr sicher,5,sehr sicher,0,weder/noch,-5,sehr sicher,0,sehr sicher,sicher,-5,sehr sicher,5,sehr sicher,mittel,keine Vorlieben,neutral,5,sehr sicher,,,,no,no,no,yes,no
134,65,m,Realschule,mittelmäßig,ziemlich zufrieden,groß,-4,-1,left/right,2,-3,0,3,-9,Party B,yes,4225,-4,-1,-1,-4,same,no,left/right,Party A,-3,0,3,-9,0,-3,-3,9,Party B,yes,no,1,1,1,1,both right,Party A,-2,-2,0,0,0,Party A,yes,-3,1,-3,1,left/right,Party A,-2,-2,0,0,0,Party A,yes,-2,1,,,,,left/right,none,-1,-2,-1,3,-1,-2,-1,3,,,B=precise,Party A,yes,no,groß,2,5,sehr sicher,0,ziemlich sicher,0,ziemlich sicher,-1,ziemlich sicher,-1,sehr sicher,sicher,-5,ziemlich sicher,-2,ziemlich sicher,mittel,Sicherheit,avers,0,ziemlich sicher,no,no,Grüne,no,no,no,yes,no
135,59,m,Hauptschule,weniger stark,sehr unzufrieden,sehr gering,-4,-1,both left,2,-4,-1,3,-15,Party A,no,3481,-4,-1,-4,-1,same,no,both left,Party B,-4,-1,3,-15,-4,-1,3,-15,Party A,no,no,0,0,0,0,all tied,Party B,0,0,0,0,0,Party A,no,-2,2,-2,2,left/right,Party A,-2,-2,0,0,0,Party B,no,-2,1,-2,1,0,5,,Party B,-2,-1,1,-3,-2,-1,1,-3,0,-5,B=non-position,Party B,yes,yes,gering,0,0,sehr sicher,0,weder/noch,-2,ziemlich sicher,-5,sehr unsicher,0,sehr sicher,sicher,-5,sehr sicher,2,weder/noch,gering,unbedingte Sicherheit,avers,0,ziemlich sicher,no,no,AfD,no,no,no,no,no
136,59,m,Realschule,mittelmäßig,ziemlich unzufrieden,gering,0,2,left/right,2,-1,-1,0,0,Party A,yes,3481,-3,2,2,-3,new,,left/right,Party A,-4,-1,3,-15,-1,-4,-3,15,Party B,yes,no,-2,-2,-2,-2,both left,Party A,-3,-3,0,0,0,Party B,no,-1,3,3,-1,left/right,Party B,-2,-2,0,0,0,Party B,yes,-2,1,-2,1,1,5,,Party B,-3,0,3,-9,-3,0,3,-9,0,-4,B=internal conflict,Party B,yes,yes,gering,1,2,ziemlich sicher,0,ziemlich sicher,-1,ziemlich sicher,-3,ziemlich sicher,1,ziemlich sicher,sicher,-5,sehr sicher,-2,ziemlich sicher,mittel,manchmal Risiken,affin,-2,ziemlich sicher,,,,no,no,no,yes,no
138,55,m,Realschule,sehr stark,sehr unzufrieden,sehr gering,2,4,left/right,2,0,-2,-2,4,Party B,no,3025,-4,-3,-3,-4,new,,both left,Party A,-6,-5,1,-11,-5,-6,-1,11,Party B,yes,no,-1,-1,-1,-1,both left,Party B,-3,-3,0,0,0,Party A,no,0,4,4,0,left/right,Party B,-2,-2,0,0,0,Party B,yes,-2,1,,,,,both left,none,-4,-1,3,-15,-4,-1,3,-15,,,B=precise,Party B,yes,no,gering,1,0,sehr sicher,-5,sehr sicher,-2,sehr sicher,-5,sehr sicher,2,sehr sicher,sicher,-5,sehr sicher,-5,sehr sicher,stark,unbedingte Sicherheit,avers,-5,sehr sicher,,,AfD,no,no,no,no,no
139,33,f,Hochschulstudium,mittelmäßig,teils/ teils,sehr groß,-2,-2,all tied,2,0,0,0,0,Party A,yes,1089,-2,-2,-2,-2,same,no,all tied,Party B,0,0,0,0,0,0,0,0,Party A,yes,no,2,2,2,2,both right,Party A,-4,-4,0,0,0,Party B,no,-4,0,-4,0,left/right,Party A,-2,-2,0,0,0,Party A,yes,-2,1,-2,1,0,5,,Party B,0,-3,-3,9,0,-3,-3,9,-2,-7,B=internal conflict,Party A,yes,no,groß,1,-2,ziemlich sicher,3,ziemlich unsicher,4,sehr unsicher,5,sehr unsicher,-2,ziemlich sicher,sicher,-3,ziemlich sicher,2,ziemlich unsicher,mittel,häufig Risiken,affin,2,ziemlich unsicher,no,no,Linke,no,no,no,yes,no
140,57,f,Hauptschule,mittelmäßig,teils/ teils,gering,0,4,left/right,2,0,-4,-4,16,Party A,yes,3249,4,4,4,4,new,,both right,Party B,-4,-4,0,0,-4,-4,0,0,Party A,yes,no,1,1,1,1,both right,Party B,-1,-1,0,0,0,Party A,no,-2,2,2,-2,left/right,Party B,-2,-2,0,0,0,Party A,no,-2,1,-2,1,0,5,,Party B,-2,-1,1,-3,-2,-1,1,-3,0,-5,B=non-position,Party A,no,no,gering,0,5,sehr sicher,0,weder/noch,-1,weder/noch,-1,weder/noch,0,weder/noch,unsicher,-5,sehr sicher,0,weder/noch,mittel,unbedingte Sicherheit,avers,0,weder/noch,,,CDU/CSU,yes,no,yes,no,no
141,65,m,Abitur,sehr stark,ziemlich zufrieden,sehr groß,-2,-1,both right,2,-1,-2,-1,3,Party A,yes,4225,-2,-1,-1,-2,same,no,both right,Party A,-1,-2,-1,3,-2,-1,1,-3,Party A,yes,yes,2,2,2,2,both right,Party A,-5,-5,0,0,0,Party B,no,,,,,,,,,0,0,0,,,-2,1,-2,1,,,both right,Party B,-1,-4,-3,15,-1,-4,-3,15,,,B=risky,Party A,yes,no,groß,0,5,sehr sicher,2,sehr sicher,3,sehr sicher,-2,sehr sicher,-3,sehr sicher,sicher,-3,sehr sicher,-1,sehr sicher,stark,keine Vorlieben,neutral,3,sehr sicher,no,no,Linke,no,no,no,yes,no
