i,j,age,age2,education,female,impact,ind_unc,j_,lr_i,lr_i_unc,lr_ij,lr_ij_unc,lr_j,lr_j_unc,polinterest,risk,satisdmo,sq,sq_unc,ut_ij,ut_j,vote,vote_ij
131,5,67,4489,1,0,2,0,Linke,-1,0,-5,0,-3.566855,.7859385,3,3,3,1,0,-4,-2.566855,2,0
131,6,67,4489,1,0,2,0,FDP,-1,0,3,0,-.28876334,1.2912743,3,3,3,1,0,-4,-.71123666,2,0
132,1,66,4356,3,1,2,1,CDU/CSU,0,1,-1,1,-.017576899,1.1010672,2,1,3,0,1,-1,-.017576899,2,0
132,2,66,4356,3,1,2,1,SPD,0,1,-3,1,-1.3013183,1.1161331,2,1,3,0,1,-3,-1.3013183,2,1
132,3,66,4356,3,1,2,1,Grüne,0,1,-2,1,-1.7564344,1.165725,2,1,3,0,1,-2,-1.7564344,2,0
132,4,66,4356,3,1,2,1,AfD,0,1,4,1,3.1958568,.6836158,2,1,3,0,1,-4,-3.1958568,2,0
132,5,66,4356,3,1,2,1,Linke,0,1,4,1,-3.566855,.7859385,2,1,3,0,1,-4,-3.566855,2,0
132,6,66,4356,3,1,2,1,FDP,0,1,3,1,-.28876334,1.2912743,2,1,3,0,1,-3,-.28876334,2,0
134,1,65,4225,2,0,2,2,CDU/CSU,-1,0,0,1,-.017576899,1.1010672,2,3,3,0,1,-1,-.98242313,3,0
134,2,65,4225,2,0,2,2,SPD,-1,0,-2,1,-1.3013183,1.1161331,2,3,3,0,1,-1,-.30131829,3,0
134,3,65,4225,2,0,2,2,Grüne,-1,0,-1,1,-1.7564344,1.165725,2,3,3,0,1,0,-.75643444,3,1
134,4,65,4225,2,0,2,2,AfD,-1,0,5,0,3.1958568,.6836158,2,3,3,0,1,-6,-4.195857,3,0
134,5,65,4225,2,0,2,2,Linke,-1,0,-5,1,-3.566855,.7859385,2,3,3,0,1,-4,-2.566855,3,0
134,6,65,4225,2,0,2,2,FDP,-1,0,0,1,-.28876334,1.2912743,2,3,3,0,1,-1,-.71123666,3,0
135,1,59,3481,1,0,0,0,CDU/CSU,0,0,0,2,-.017576899,1.1010672,1,4,0,0,1,0,-.017576899,4,0
135,2,59,3481,1,0,0,0,SPD,0,0,2,2,-1.3013183,1.1161331,1,4,0,0,1,-2,-1.3013183,4,0
135,3,59,3481,1,0,0,0,Grüne,0,0,-5,4,-1.7564344,1.165725,1,4,0,0,1,-5,-1.7564344,4,0
135,4,59,3481,1,0,0,0,AfD,0,0,0,0,3.1958568,.6836158,1,4,0,0,1,0,-3.1958568,4,1
135,5,59,3481,1,0,0,0,Linke,0,0,-5,0,-3.566855,.7859385,1,4,0,0,1,-5,-3.566855,4,0
135,6,59,3481,1,0,0,0,FDP,0,0,-2,1,-.28876334,1.2912743,1,4,0,0,1,-2,-.28876334,4,0
138,1,55,3025,2,0,0,1,CDU/CSU,2,0,-5,0,-.017576899,1.1010672,4,4,0,-5,0,-7,-2.0175769,4,0
138,2,55,3025,2,0,0,1,SPD,2,0,-5,0,-1.3013183,1.1161331,4,4,0,-5,0,-7,-3.3013182,4,0
138,3,55,3025,2,0,0,1,Grüne,2,0,-5,0,-1.7564344,1.165725,4,4,0,-5,0,-7,-3.7564344,4,0
138,4,55,3025,2,0,0,1,AfD,2,0,0,0,3.1958568,.6836158,4,4,0,-5,0,-2,-1.1958568,4,1
138,5,55,3025,2,0,0,1,Linke,2,0,-5,0,-3.566855,.7859385,4,4,0,-5,0,-7,-5.566855,4,0
138,6,55,3025,2,0,0,1,FDP,2,0,-2,0,-.28876334,1.2912743,4,4,0,-5,0,-4,-2.2887633,4,0
139,1,33,1089,4,1,3,1,CDU/CSU,-2,1,3,3,-.017576899,1.1010672,2,0,2,2,3,-5,-1.9824231,5,0
139,2,33,1089,4,1,3,1,SPD,-2,1,2,3,-1.3013183,1.1161331,2,0,2,2,3,-4,-.69868171,5,0
139,3,33,1089,4,1,3,1,Grüne,-2,1,5,4,-1.7564344,1.165725,2,0,2,2,3,-7,-.24356556,5,0
139,4,33,1089,4,1,3,1,AfD,-2,1,-2,1,3.1958568,.6836158,2,0,2,2,3,0,-5.195857,5,0
139,5,33,1089,4,1,3,1,Linke,-2,1,-3,1,-3.566855,.7859385,2,0,2,2,3,-1,-1.566855,5,1
139,6,33,1089,4,1,3,1,FDP,-2,1,4,4,-.28876334,1.2912743,2,0,2,2,3,-6,-1.7112367,5,0
140,1,57,3249,1,1,1,0,CDU/CSU,0,2,0,2,-.017576899,1.1010672,2,4,2,0,2,0,-.017576899,1,1
140,2,57,3249,1,1,1,0,SPD,0,2,0,2,-1.3013183,1.1161331,2,4,2,0,2,0,-1.3013183,1,0
140,3,57,3249,1,1,1,0,Grüne,0,2,-1,2,-1.7564344,1.165725,2,4,2,0,2,-1,-1.7564344,1,0
140,4,57,3249,1,1,1,0,AfD,0,2,5,0,3.1958568,.6836158,2,4,2,0,2,-5,-3.1958568,1,0
140,5,57,3249,1,1,1,0,Linke,0,2,-5,0,-3.566855,.7859385,2,4,2,0,2,-5,-3.566855,1,0
140,6,57,3249,1,1,1,0,FDP,0,2,-1,2,-.28876334,1.2912743,2,4,2,0,2,-1,-.28876334,1,0
141,1,65,4225,3,0,3,0,CDU/CSU,-3,0,2,0,-.017576899,1.1010672,4,2,3,3,0,-5,-2.9824231,5,0
141,2,65,4225,3,0,3,0,SPD,-3,0,-1,0,-1.3013183,1.1161331,4,2,3,3,0,-2,-1.6986817,5,0
141,3,65,4225,3,0,3,0,Grüne,-3,0,-2,0,-1.7564344,1.165725,4,2,3,3,0,-1,-1.2435656,5,0
141,4,65,4225,3,0,3,0,AfD,-3,0,5,0,3.1958568,.6836158,4,2,3,3,0,-8,-6.195857,5,0
141,5,65,4225,3,0,3,0,Linke,-3,0,-3,0,-3.566855,.7859385,4,2,3,3,0,0,-.56685495,5,1
141,6,65,4225,3,0,3,0,FDP,-3,0,3,0,-.28876334,1.2912743,4,2,3,3,0,-6,-2.7112367,5,0
143,1,69,4761,1,0,0,0,CDU/CSU,0,0,1,2,-.017576899,1.1010672,3,4,2,1,2,-1,-.017576899,2,0
143,2,69,4761,1,0,0,0,SPD,0,0,-1,2,-1.3013183,1.1161331,3,4,2,1,2,-1,-1.3013183,2,1
143,3,69,4761,1,0,0,0,Grüne,0,0,-1,2,-1.7564344,1.165725,3,4,2,1,2,-1,-1.7564344,2,0
143,4,69,4761,1,0,0,0,AfD,0,0,5,0,3.1958568,.6836158,3,4,2,1,2,-5,-3.1958568,2,0
143,5,69,4761,1,0,0,0,Linke,0,0,-5,0,-3.566855,.7859385,3,4,2,1,2,-5,-3.566855,2,0
