exp,vignette,positions,types,i,unc,vote,vote_spa,vote_straight_A,vote_straight_B,vote_straight_cer,vote_straight_spa,vote_straight_unc,vote_unc,ut_A,ut_B,ut_B_A,ut_B_A_sq,ut_cer,ut_unc,ut_unc_cer,ut_unc_cer_sq,ut_unc_max,ut_unc_min,lr_A,lr_B,lr_cer,lr_i,lr_i_unc,lr_i_unc_cat,lr_unc,lr_unc_max,lr_unc_min,age,education,female,impact,impact_cat,ind_unc,polinterest,risk,risk_cat,satisdmo,sq,sq_unc,switch_1_2,switch_1_2_cer,switch_1_2_unc
1,,,2,161,2,0,1,1,0,0,0,0,,-2,-3,-1,5,,,,,,,2,3,,0,3,1,,,,47,3,1,2,1,1,3,3,2,2,0,3,,,
1,,,2,162,2,0,1,0,0,0,1,0,,-2,-9,-7,77,,,,,,,-3,4,,-5,1,0,,,,66,2,0,1,0,0,4,1,0,3,2,1,,,
1,,,3,163,2,0,1,0,0,0,1,0,,-1,-3,-2,8,,,,,,,-1,3,,0,1,0,,,,44,2,0,1,0,1,3,1,0,2,-2,1,0,0,0
1,,,1,164,2,1,1,0,0,1,0,0,,-4,-2,2,-12,,,,,,,-4,-2,,0,0,0,,,,62,1,1,2,1,0,3,3,2,2,-3,1,0,0,0
1,,,3,165,2,1,1,0,0,0,0,1,,-2,-1,1,-3,,,,,,,-1,2,,1,1,0,,,,24,3,0,2,1,3,3,1,0,3,-2,1,,,
1,,,3,166,2,0,1,0,0,0,1,0,,0,-5,-5,25,,,,,,,-3,2,,-3,0,0,,,,60,4,1,2,1,1,4,1,0,3,-1,1,,,
1,,,1,167,2,0,1,0,0,0,1,0,,-2,-2,0,0,,,,,,,-1,-1,,1,0,0,,,,51,4,0,2,1,1,4,1,0,3,-1,1,,,
1,,,3,169,2,0,1,0,0,0,1,0,,-2,-4,-2,12,,,,,,,-3,3,,-1,2,1,,,,48,3,0,2,1,2,3,3,2,4,0,1,,,
1,,,3,170,2,0,1,1,0,0,1,0,,-1,-3,-2,8,,,,,,,-2,2,,-1,1,0,,,,57,2,1,2,1,2,2,3,2,2,0,2,0,0,0
1,,,1,171,2,1,1,0,0,0,1,0,,-2,-2,0,0,,,,,,,1,1,,3,0,0,,,,56,2,1,3,1,1,3,3,2,0,-5,0,0,0,0
1,,,3,173,2,0,1,0,0,0,0,0,,0,-2,-2,4,,,,,,,0,2,,0,4,1,,,,30,4,1,2,1,2,1,3,2,3,-1,3,,,
1,,,3,174,2,0,1,1,0,0,0,0,,-4,-4,0,0,,,,,,,-4,4,,0,1,0,,,,69,1,1,2,1,1,1,3,2,3,0,2,,,
1,,,2,175,2,0,1,0,0,0,1,0,,-2,-5,-3,21,,,,,,,0,3,,-2,0,0,,,,57,2,0,1,0,2,2,1,0,0,3,0,0,0,0
1,,,3,176,2,0,1,1,0,0,0,0,,0,-4,-4,16,,,,,,,0,4,,0,2,1,,,,66,1,0,3,1,2,2,2,1,0,-3,1,,,
1,,,3,178,2,0,0,0,0,0,0,0,,-3,-1,2,-8,,,,,,,-3,1,,0,3,1,,,,58,2,1,1,0,1,2,2,1,2,-1,2,0,0,0
1,,,3,179,2,0,1,0,0,0,0,0,,-2,-4,-2,12,,,,,,,-2,4,,0,1,0,,,,44,2,1,1,0,1,1,3,2,2,-1,3,0,0,0
1,,,2,180,2,1,1,0,0,0,0,0,,-2,-2,0,0,,,,,,,2,2,,0,0,0,,,,36,4,0,2,1,1,0,2,1,2,-2,0,1,1,0
1,,,3,181,2,1,0,0,0,0,0,1,,-2,-3,-1,5,,,,,,,-2,3,,0,1,0,,,,62,1,0,1,0,2,3,2,1,2,-2,1,,,
1,,,1,183,2,0,0,0,0,0,0,0,,-2,-1,1,-3,,,,,,,-2,-1,,0,1,0,,,,21,2,0,2,1,1,3,1,0,3,0,1,0,0,0
1,,,3,184,2,1,1,0,0,0,1,0,,-1,0,1,-1,,,,,,,-1,0,,0,1,0,,,,62,1,0,1,0,0,1,1,0,2,0,3,,,
1,,,3,185,2,1,1,0,0,0,1,1,,-4,0,4,-16,,,,,,,-4,0,,0,0,0,,,,61,3,0,1,0,2,4,1,0,3,3,1,0,0,0
1,,,3,186,2,0,1,0,0,0,1,0,,0,-6,-6,36,,,,,,,-3,3,,-3,1,0,,,,47,3,0,2,1,1,2,1,0,4,0,2,,,
1,,,3,187,2,0,1,0,0,0,1,0,,-3,-5,-2,16,,,,,,,-4,4,,-1,0,0,,,,43,4,0,3,1,2,4,1,0,3,2,1,0,0,0
1,,,1,188,2,1,1,0,1,0,1,0,,-2,-1,1,-3,,,,,,,-1,0,,1,1,0,,,,30,2,1,2,1,0,1,3,2,2,-2,2,0,0,0
1,,,3,189,2,1,1,0,0,0,1,1,,-4,-1,3,-15,,,,,,,-4,1,,0,0,0,,,,48,3,1,2,1,2,3,1,0,3,-1,1,,,
1,,,1,190,2,0,1,0,0,0,1,0,,-3,-3,0,0,,,,,,,-3,-3,,0,0,0,,,,64,4,0,3,1,0,4,3,2,4,0,0,1,1,0
1,,,2,191,2,0,1,1,0,1,0,0,,-2,-4,-2,12,,,,,,,2,4,,0,0,0,,,,62,3,1,2,1,0,3,3,2,4,-1,2,,,
1,,,2,192,2,0,1,0,0,0,1,0,,-5,-6,-1,11,,,,,,,1,2,,-4,1,0,,,,30,3,0,1,0,1,3,2,1,1,2,1,0,0,0
1,,,3,193,2,0,1,0,0,0,0,0,,-2,-3,-1,5,,,,,,,-2,3,,0,0,0,,,,65,1,1,1,0,1,2,3,2,2,0,4,,,
1,,,3,194,2,0,1,0,0,0,1,0,,-2,-3,-1,5,,,,,,,-2,3,,0,1,0,,,,41,3,0,2,1,0,3,1,0,4,-1,0,,,
1,,,3,196,2,1,1,0,1,0,1,0,,-2,-2,0,0,,,,,,,0,4,,2,0,0,,,,46,2,0,3,1,2,3,1,0,2,1,1,0,0,0
1,,,1,197,2,1,1,0,0,0,0,0,,-4,-1,3,-15,,,,,,,-4,-1,,0,1,0,,,,67,1,1,1,0,0,2,4,2,3,0,2,,,
1,,,3,198,2,1,1,0,0,0,1,0,,-3,-3,0,0,,,,,,,-2,4,,1,1,0,,,,57,4,0,0,0,2,3,3,2,0,-5,0,1,0,1
1,,,1,199,2,1,1,0,0,0,0,0,,-4,-2,2,-12,,,,,,,-4,-2,,0,2,1,,,,29,1,0,2,1,2,3,2,1,2,-1,2,1,0,1
1,,,4,201,2,0,1,0,0,0,1,0,,0,0,0,0,,,,,,,-3,-3,,-3,2,1,,,,58,2,1,1,0,1,2,1,0,1,-2,2,,,
1,,,3,202,2,1,1,0,0,0,1,0,,-5,-1,4,-24,,,,,,,-4,2,,1,1,0,,,,49,2,0,3,1,1,3,2,1,3,0,1,,,
1,,,2,203,2,0,1,0,0,0,1,0,,-4,-4,0,0,,,,,,,3,3,,-1,1,0,,,,55,2,0,1,0,1,2,1,0,2,-1,1,0,0,0
1,,,1,204,2,1,1,0,0,0,0,0,,-2,-2,0,0,,,,,,,-2,-2,,0,2,1,,,,57,2,1,1,0,2,2,2,1,2,0,2,,,
1,,,2,205,2,0,1,0,0,1,1,0,,-1,-3,-2,8,,,,,,,-1,1,,-2,2,1,,,,43,4,1,2,1,0,2,2,1,3,0,2,,,
1,,,3,206,2,0,1,0,0,0,1,0,,0,-2,-2,4,,,,,,,0,2,,0,1,0,,,,23,3,0,3,1,1,2,2,1,3,0,1,0,0,0
1,,,2,207,2,0,1,1,0,1,1,0,,-1,-3,-2,8,,,,,,,-1,1,,-2,1,0,,,,28,2,1,3,1,0,2,1,0,4,0,1,,,
