exp,vignette,positions,types,i,unc,vote,vote_spa,vote_straight_A,vote_straight_B,vote_straight_cer,vote_straight_spa,vote_straight_unc,vote_unc,ut_A,ut_B,ut_B_A,ut_B_A_sq,ut_cer,ut_unc,ut_unc_cer,ut_unc_cer_sq,ut_unc_max,ut_unc_min,lr_A,lr_B,lr_cer,lr_i,lr_i_unc,lr_i_unc_cat,lr_unc,lr_unc_max,lr_unc_min,age,education,female,impact,impact_cat,ind_unc,polinterest,risk,risk_cat,satisdmo,sq,sq_unc,switch_1_2,switch_1_2_cer,switch_1_2_unc,amb
2,,1,2,180,1,0,1,0,0,0,0,0,0,-2,-2,0,0,-2,-2,0,0,,,2,2,2,0,0,0,2,,,36,4,0,2,1,1,0,2,1,2,-2,0,1,1,0,0
2,,1,1,183,1,0,0,0,0,0,0,0,0,-2,-1,1,-3,-2,-1,1,-3,,,-2,-1,-2,0,1,0,-1,,,21,2,0,2,1,1,3,1,0,3,0,1,0,0,0,0
2,,1,3,185,1,1,1,0,0,0,1,1,1,-4,0,4,-16,-4,0,4,-16,,,-4,0,-4,0,0,0,0,,,61,3,0,1,0,2,4,1,0,3,3,1,0,0,0,0
2,,1,3,187,1,0,1,0,0,0,1,0,0,-3,-5,-2,16,-3,-5,-2,16,,,-4,4,-4,-1,0,0,4,,,43,4,0,3,1,2,4,1,0,3,2,1,0,0,0,0
2,,1,1,188,1,1,1,0,1,0,1,0,1,-2,-1,1,-3,-2,-1,1,-3,,,-1,0,-1,1,1,0,0,,,30,2,1,2,1,0,1,3,2,2,-2,2,0,0,0,0
2,,1,1,190,0,1,1,0,0,0,1,0,0,-3,-3,0,0,-3,-3,0,0,,,-3,-3,-3,0,0,0,-3,,,64,4,0,3,1,0,4,3,2,4,0,0,1,1,0,0
2,,1,2,192,0,0,1,0,0,0,1,0,1,-5,-6,-1,11,-6,-5,1,-11,,,1,2,2,-4,1,0,1,,,30,3,0,1,0,1,3,2,1,1,2,1,0,0,0,0
2,,1,3,196,0,1,1,0,1,0,1,0,0,-2,-2,0,0,-2,-2,0,0,,,0,4,4,2,0,0,0,,,46,2,0,3,1,2,3,1,0,2,1,1,0,0,0,0
2,,1,3,198,0,0,1,0,0,0,1,0,1,-3,-3,0,0,-3,-3,0,0,,,-2,4,4,1,1,0,-2,,,57,4,0,0,0,2,3,3,2,0,-5,0,1,0,1,0
2,,1,1,199,0,0,0,0,0,0,0,0,1,-4,-2,2,-12,-2,-4,-2,12,,,-4,-2,-2,0,2,1,-4,,,29,1,0,2,1,2,3,2,1,2,-1,2,1,0,1,0
2,,1,2,203,1,0,1,0,0,0,1,0,0,-4,-4,0,0,-4,-4,0,0,,,3,3,3,-1,1,0,3,,,55,2,0,1,0,1,2,1,0,2,-1,1,0,0,0,0
2,,1,3,206,0,0,1,0,0,0,1,0,1,0,-2,-2,4,-2,0,2,-4,,,0,2,2,0,1,0,0,,,23,3,0,3,1,1,2,2,1,3,0,1,0,0,0,0
2,,1,3,209,0,0,1,1,0,0,0,0,1,-2,-2,0,0,-2,-2,0,0,,,0,4,4,2,1,0,0,,,49,2,0,1,0,3,2,2,1,3,-4,1,0,0,0,0
2,,1,1,211,1,1,1,0,0,0,0,0,1,-4,-3,1,-7,-4,-3,1,-7,,,-4,-3,-4,0,0,0,-3,,,31,3,0,1,0,2,2,1,0,2,-2,0,0,0,0,0
2,,1,3,212,1,0,0,0,0,0,0,0,0,-2,-1,1,-3,-2,-1,1,-3,,,0,3,0,2,1,0,3,,,65,2,0,2,1,0,3,1,0,2,-2,1,0,0,0,0
2,,1,2,213,0,0,1,0,0,0,1,0,1,-2,-3,-1,5,-3,-2,1,-5,,,-1,0,0,-3,1,0,-1,,,53,2,0,2,1,1,3,2,1,3,1,1,0,0,0,0
2,,1,1,216,1,1,1,0,0,0,0,0,1,-7,-1,6,-48,-7,-1,6,-48,,,-4,2,-4,3,1,0,2,,,47,1,0,1,0,0,1,3,2,1,-4,1,1,0,1,0
2,,1,2,217,1,0,1,0,0,1,1,0,0,-1,-5,-4,24,-1,-5,-4,24,,,0,4,0,-1,2,1,4,,,50,3,1,2,1,0,2,3,2,2,0,3,0,0,0,0
2,,1,1,223,0,0,1,0,0,0,1,0,1,-1,-1,0,0,-1,-1,0,0,,,-2,-2,-2,-1,0,0,-2,,,55,1,1,1,0,2,1,3,2,2,-3,1,0,0,0,0
2,,1,3,225,1,0,1,0,0,0,0,0,0,-3,-3,0,0,-3,-3,0,0,,,-3,3,-3,0,0,0,3,,,58,1,0,2,1,1,4,2,1,3,0,3,1,1,0,0
2,,1,3,227,0,1,0,0,0,0,0,0,0,-1,-2,-1,3,-2,-1,1,-3,,,-4,-1,-1,-3,2,1,-4,,,25,4,1,3,1,1,3,1,0,3,0,1,0,0,0,0
2,,1,2,231,1,0,1,0,0,0,1,0,0,-4,-4,0,0,-4,-4,0,0,,,2,2,2,-2,1,0,2,,,65,1,0,2,1,1,3,1,0,3,0,1,0,0,0,0
2,,1,3,232,0,0,1,0,0,0,0,0,1,-2,-4,-2,12,-4,-2,2,-12,,,-2,4,4,0,2,1,-2,,,50,0,0,1,0,1,1,2,1,1,0,2,1,0,1,0
2,,1,2,234,0,0,1,0,0,0,0,0,1,-1,-5,-4,24,-5,-1,4,-24,,,0,4,4,-1,1,0,0,,,63,2,1,3,1,1,2,3,2,0,-2,2,1,0,1,0
2,,1,2,235,1,0,1,1,0,0,1,0,0,-1,-3,-2,8,-1,-3,-2,8,,,-1,1,-1,-2,1,0,1,,,47,4,0,2,1,1,2,3,2,3,1,1,0,0,0,0
2,,1,3,236,0,1,1,0,0,0,1,0,0,-1,-1,0,0,-1,-1,0,0,,,-4,-2,-2,-3,1,0,-4,,,65,4,0,1,0,1,4,3,2,2,0,2,0,0,0,0
2,,1,3,238,0,1,1,0,1,0,1,0,0,-4,0,4,-16,0,-4,-4,16,,,-4,0,0,0,0,0,-4,,,21,0,0,2,1,2,2,0,0,1,-3,0,0,0,0,0
2,,1,3,240,0,1,1,0,0,0,1,0,0,-2,0,2,-4,0,-2,-2,4,,,-1,1,1,1,1,0,-1,,,40,3,1,1,0,2,0,3,2,2,-2,2,0,0,0,0
2,,1,2,244,1,0,1,0,0,0,1,0,0,-4,-7,-3,33,-4,-7,-3,33,,,0,3,0,-4,0,0,3,,,26,4,1,2,1,1,3,3,2,2,0,1,0,0,0,0
2,,1,2,245,1,1,0,0,1,0,0,1,1,-1,-3,-2,8,-1,-3,-2,8,,,2,4,2,1,0,0,4,,,56,2,0,3,1,3,4,3,2,0,-3,0,0,0,0,0
2,,1,3,246,1,1,1,0,0,0,0,0,1,-3,-1,2,-8,-3,-1,2,-8,,,-2,2,-2,1,0,0,2,,,42,2,0,2,1,1,4,1,0,3,0,1,1,0,1,0
2,,1,3,250,1,0,0,1,0,1,0,0,0,-1,0,1,-1,-1,0,1,-1,,,-2,-1,-2,-1,1,0,-1,,,24,2,1,1,0,0,2,2,1,2,-1,2,0,0,0,0
2,,1,3,252,1,1,1,0,0,0,0,0,1,-3,-1,2,-8,-3,-1,2,-8,,,-3,1,-3,0,0,0,1,,,58,4,0,3,1,2,4,1,0,2,-3,0,0,0,0,0
2,,1,2,253,1,1,0,0,0,0,0,0,1,-1,-4,-3,15,-1,-4,-3,15,,,1,4,1,0,1,0,4,,,29,2,0,2,1,3,1,1,0,2,-1,0,0,0,0,0
2,,1,3,254,1,0,1,0,0,0,1,0,0,-1,-5,-4,24,-1,-5,-4,24,,,-2,4,-2,-1,1,0,4,,,64,1,0,2,1,1,1,1,0,3,0,2,0,0,0,0
2,,1,2,259,0,0,1,0,0,0,1,0,1,-1,-3,-2,8,-3,-1,2,-8,,,-1,1,1,-2,1,0,-1,,,58,1,0,2,1,0,3,2,1,2,0,1,0,0,0,0
2,,1,2,263,0,0,1,0,0,0,1,0,1,-6,-7,-1,13,-7,-6,1,-13,,,3,4,4,-3,0,0,3,,,64,4,0,2,1,0,3,1,0,3,1,1,0,0,0,0
2,,1,2,264,0,1,0,0,0,0,0,0,0,-1,-8,-7,63,-8,-1,7,-63,,,-4,3,3,-5,1,0,-4,,,21,2,1,2,1,1,3,2,1,2,-2,2,1,1,0,0
2,,1,3,265,1,0,0,0,0,0,0,0,0,-2,-1,1,-3,-2,-1,1,-3,,,-2,1,-2,0,2,1,1,,,39,2,0,1,0,1,1,2,1,2,0,2,1,1,0,0
2,,1,1,267,1,1,1,0,0,0,0,0,1,-4,-2,2,-12,-4,-2,2,-12,,,-2,0,-2,2,0,0,0,,,37,1,0,1,0,1,0,3,2,2,-3,0,0,0,0,0
2,,1,1,268,1,1,1,0,1,0,0,0,1,-2,-2,0,0,-2,-2,0,0,,,-3,-3,-3,-1,1,0,-3,,,42,2,1,2,1,1,2,3,2,3,-1,2,0,0,0,0
2,,1,3,271,1,0,0,1,0,1,0,0,0,-1,0,1,-1,-1,0,1,-1,,,-1,0,-1,0,0,0,0,,,55,2,0,0,0,0,2,3,2,0,0,0,0,0,0,0
